Phase,Activity,Type,Category,Total,Correct,Wrong,% Correct,% Wrong,Avg Time,Next Low,Next Moderate,Next High
Envolvimento,O que causa as estações do ano na Terra,Question,High,86,86,0,100.0,0.0,41.1,A rotação da Terra tem a ver com o dia e a noite na Terra...,Distância entre a Terra e o Sol ,A inclinação do eixo da Terra
Envolvimento,O que causa as estações do ano na Terra,Question,Moderate,55,0,55,0.0,100.0,22.2,A rotação da Terra tem a ver com o dia e a noite na Terra...,Distância entre a Terra e o Sol ,A inclinação do eixo da Terra
Envolvimento,O que causa as estações do ano na Terra,Question,Low,105,0,105,0.0,100.0,30.3,A rotação da Terra tem a ver com o dia e a noite na Terra...,Distância entre a Terra e o Sol ,A inclinação do eixo da Terra
Envolvimento,A rotação da Terra tem a ver com o dia e a noite na Terra...,Question,High,0,,,,,,Distância entre a Terra e o Sol ,Distância entre a Terra e o Sol ,A inclinação do eixo da Terra
Envolvimento,A rotação da Terra tem a ver com o dia e a noite na Terra...,Question,Moderate,0,,,,,,Distância entre a Terra e o Sol ,Distância entre a Terra e o Sol ,A inclinação do eixo da Terra
Envolvimento,A rotação da Terra tem a ver com o dia e a noite na Terra...,Question,Low,0,,,,,,Distância entre a Terra e o Sol ,Distância entre a Terra e o Sol ,A inclinação do eixo da Terra
Envolvimento,Distância entre a Terra e o Sol ,Question,High,1,0,1,0.0,100.0,47.0,Mais sobre a relação entre a distância Sol-Terra e as estações do ano,Mais sobre a relação entre a distância Sol-Terra e as estações do ano,Muito bem - o Natal pode ser durante o verão ou durante o inverno!
Envolvimento,Distância entre a Terra e o Sol ,Question,Moderate,53,23,30,43.4,56.6,21.8,Mais sobre a relação entre a distância Sol-Terra e as estações do ano,Mais sobre a relação entre a distância Sol-Terra e as estações do ano,Muito bem - o Natal pode ser durante o verão ou durante o inverno!
Envolvimento,Distância entre a Terra e o Sol ,Question,Low,104,53,51,51.0,49.0,30.3,Mais sobre a relação entre a distância Sol-Terra e as estações do ano,Mais sobre a relação entre a distância Sol-Terra e as estações do ano,Muito bem - o Natal pode ser durante o verão ou durante o inverno!
Envolvimento,Mais sobre a relação entre a distância Sol-Terra e as estações do ano,Explanation,High,1,,,0.0,0.0,15.0,A inclinação do eixo da Terra,A inclinação do eixo da Terra,A inclinação do eixo da Terra
Envolvimento,Mais sobre a relação entre a distância Sol-Terra e as estações do ano,Explanation,Moderate,30,,,0.0,0.0,11.4,A inclinação do eixo da Terra,A inclinação do eixo da Terra,A inclinação do eixo da Terra
Envolvimento,Mais sobre a relação entre a distância Sol-Terra e as estações do ano,Explanation,Low,51,,,0.0,0.0,9.4,A inclinação do eixo da Terra,A inclinação do eixo da Terra,A inclinação do eixo da Terra
