Phase,Activity,Type,Category,Total,Correct,Wrong,% Correct,% Wrong,Avg Time,Next Low,Next Moderate,Next High
Εμπλοκή μαθητών,Διανύσματα,Question,High,51,51,0,100.0,0.0,44.9,Υπολογισμός συνισταμένης,Υπολογισμός συνισταμένης,Υπολογισμός συνισταμένης
Εμπλοκή μαθητών,Διανύσματα,Question,Moderate,6,1,5,16.7,83.3,65.8,Υπολογισμός συνισταμένης,Υπολογισμός συνισταμένης,Υπολογισμός συνισταμένης
Εμπλοκή μαθητών,Διανύσματα,Question,Low,1,0,1,0.0,100.0,20.0,Υπολογισμός συνισταμένης,Υπολογισμός συνισταμένης,Υπολογισμός συνισταμένης
Εμπλοκή μαθητών,Υπολογισμός συνισταμένης,Question,High,51,48,3,94.1,5.9,56.2,Επεξήγηση στα διανύσματα,Πλήρης επεξήγηση,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Υπολογισμός συνισταμένης,Question,Moderate,6,5,1,83.3,16.7,64.7,Επεξήγηση στα διανύσματα,Πλήρης επεξήγηση,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Υπολογισμός συνισταμένης,Question,Low,1,0,1,0.0,100.0,11.0,Επεξήγηση στα διανύσματα,Πλήρης επεξήγηση,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Επεξήγηση στα διανύσματα,Explanation,High,0,,,,,,Ερώτηση για συνισταμένη,Ερώτηση για συνισταμένη,Ερώτηση για συνισταμένη
Εμπλοκή μαθητών,Επεξήγηση στα διανύσματα,Explanation,Moderate,6,,,0.0,0.0,62.5,Ερώτηση για συνισταμένη,Ερώτηση για συνισταμένη,Ερώτηση για συνισταμένη
Εμπλοκή μαθητών,Επεξήγηση στα διανύσματα,Explanation,Low,1,,,0.0,0.0,32.0,Ερώτηση για συνισταμένη,Ερώτηση για συνισταμένη,Ερώτηση για συνισταμένη
Εμπλοκή μαθητών,Ερώτηση για συνισταμένη,Question,High,0,,,,,,Απάντηση και επεξήγηση για συνισταμένη,Απάντηση και επεξήγηση για συνισταμένη,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Ερώτηση για συνισταμένη,Question,Moderate,6,2,4,33.3,66.7,76.0,Απάντηση και επεξήγηση για συνισταμένη,Απάντηση και επεξήγηση για συνισταμένη,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Ερώτηση για συνισταμένη,Question,Low,1,1,0,100.0,0.0,9.0,Απάντηση και επεξήγηση για συνισταμένη,Απάντηση και επεξήγηση για συνισταμένη,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Απάντηση και επεξήγηση για συνισταμένη,Explanation,High,0,,,,,,Σώμα σε ισορροπία,Σώμα σε ισορροπία,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Απάντηση και επεξήγηση για συνισταμένη,Explanation,Moderate,4,,,0.0,0.0,10.2,Σώμα σε ισορροπία,Σώμα σε ισορροπία,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Απάντηση και επεξήγηση για συνισταμένη,Explanation,Low,0,,,,,,Σώμα σε ισορροπία,Σώμα σε ισορροπία,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Πλήρης επεξήγηση,Explanation,High,3,,,0.0,0.0,17.3,Σώμα σε ισορροπία,Σώμα σε ισορροπία,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Πλήρης επεξήγηση,Explanation,Moderate,0,,,,,,Σώμα σε ισορροπία,Σώμα σε ισορροπία,Σώμα σε ισορροπία
Εμπλοκή μαθητών,Πλήρης επεξήγηση,Explanation,Low,0,,,,,,Σώμα σε ισορροπία,Σώμα σε ισορροπία,Σώμα σε ισορροπία
Υπόθεση,Σώμα σε ισορροπία,Question,High,36,34,2,94.4,5.6,54.2,Κίνηση με σταθερή ταχύτητα,Κίνηση με σταθερή ταχύτητα,Κίνηση με σταθερή ταχύτητα
