Activity,Category,Flag,Reason
Δραστηριότητα 1,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (100.0%) exceeds mean+std threshold (90.35%) with a category spread of 51.5pp. This group is struggling significantly more than the others on this activity.
Δραστηριότητα 3,High,"Engagement risk (too slow, question)","Engagement risk: High group's Avg Time (31.0s) is above mean+std (23.4s ± 6.1s, CV=0.26). Significantly slower than the other groups — possible confusion or disengagement."
Δραστηριότητα 3,Low,"Engagement risk (too fast, question)","Engagement risk: Low group's Avg Time (16.1s) is below mean-std (23.4s ± 6.1s, CV=0.26). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Δραστηριότητα 1 β,All,Systemic failure — activity too difficult,"All categories individually exceed the baseline threshold (55.0%): High 55.1%, Moderate 58.9%, Low 67.2% wrong. The activity appears too difficult for all student groups — review the question wording, answer options, or prerequisite content."
Δραστηριότητα 6,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (100.0%) exceeds mean+std threshold (91.92%) with a category spread of 46.1pp. This group is struggling significantly more than the others on this activity.
Δραστηριότητα 8,All,Systemic failure — activity too difficult,"All categories individually exceed the baseline threshold (55.0%): High 61.3%, Moderate 71.8%, Low 74.1% wrong. The activity appears too difficult for all student groups — review the question wording, answer options, or prerequisite content."
Δραστηριότητα 10,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (81.1%) exceeds mean+std threshold (73.60%) with a category spread of 59.5pp. This group is struggling significantly more than the others on this activity.
Δραστηριότητα 11,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (85.7%) exceeds mean+std threshold (80.84%) with a category spread of 85.7pp. This group is struggling significantly more than the others on this activity.
Εξάρτηση περιόδου από μάζα,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (84.6%) exceeds mean+std threshold (76.09%) with a category spread of 84.6pp. This group is struggling significantly more than the others on this activity.
Δραστηριότητα 9,High,"Engagement risk (too slow, non-question)","Engagement risk: High group's Avg Time (97.3s) is above mean+std (61.3s ± 26.0s, CV=0.42). Significantly slower than the other groups — possible confusion or disengagement."
