Activity,Category,Flag,Reason
Question after explanation on Planck hypothesis,Moderate,"Engagement risk (too slow, question)","Engagement risk: Moderate group's Avg Time (53.5s) is above mean+std (35.6s ± 12.7s, CV=0.36). Significantly slower than the other groups — possible confusion or disengagement."
Question 1 on mental experiment,Low,"Engagement risk (too fast, question)","Engagement risk: Low group's Avg Time (21.2s) is below mean-std (37.8s ± 11.7s, CV=0.31). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Question 1 - Kinetic energy vs light frequency,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (94.1%) exceeds mean+std threshold (86.19%) with a category spread of 65.3pp. This group is struggling significantly more than the others on this activity.
Question 2 - Kinetic energy vs light frequency,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (88.2%) exceeds mean+std threshold (76.19%) with a category spread of 88.2pp. This group is struggling significantly more than the others on this activity.
Question 3 - Kinetic energy vs light frequency,High,"Engagement risk (too slow, question)","Engagement risk: High group's Avg Time (32.5s) is above mean+std (24.3s ± 6.2s, CV=0.26). Significantly slower than the other groups — possible confusion or disengagement."
Question 3 - Kinetic energy vs light frequency,Low,"Engagement risk (too fast, question)","Engagement risk: Low group's Avg Time (17.4s) is below mean-std (24.3s ± 6.2s, CV=0.26). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Question 3 - Kinetic energy vs light frequency,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (81.2%) exceeds mean+std threshold (73.18%) with a category spread of 54.1pp. This group is struggling significantly more than the others on this activity.
Question 4 - Kinetic energy vs light frequency,High,"Engagement risk (too slow, question)","Engagement risk: High group's Avg Time (101.0s) is above mean+std (60.4s ± 30.5s, CV=0.51). Significantly slower than the other groups — possible confusion or disengagement."
Question 4 - Kinetic energy vs light frequency,Low,"Engagement risk (too fast, question)","Engagement risk: Low group's Avg Time (27.4s) is below mean-std (60.4s ± 30.5s, CV=0.51). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Question 4 - Kinetic energy vs light frequency,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (75.0%) exceeds mean+std threshold (72.62%) with a category spread of 63.1pp. This group is struggling significantly more than the others on this activity.
Question 1 - Intensity vs recorded current,Low,"Engagement risk (too fast, question)","Engagement risk: Low group's Avg Time (11.4s) is below mean-std (23.1s ± 8.4s, CV=0.36). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Question 1 - Intensity vs recorded current,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (54.5%) exceeds mean+std threshold (53.67%) with a category spread of 52.8pp. This group is struggling significantly more than the others on this activity.
