Phase,Activity,Type,Category,Total,Correct,Wrong,% Correct,% Wrong,Avg Time,Next Low,Next Moderate,Next High
Εμπλοκή μαθητών,Γαλιλαίος,Explanation,High,51,,,0.0,0.0,162.1,Γη και Ήλιος,Γη και Ήλιος,Γη και Ήλιος
Εμπλοκή μαθητών,Γαλιλαίος,Explanation,Moderate,34,,,0.0,0.0,145.9,Γη και Ήλιος,Γη και Ήλιος,Γη και Ήλιος
Εμπλοκή μαθητών,Γαλιλαίος,Explanation,Low,5,,,0.0,0.0,182.6,Γη και Ήλιος,Γη και Ήλιος,Γη και Ήλιος
Εμπλοκή μαθητών,Γη και Ήλιος,Question,High,51,26,25,51.0,49.0,367.5,Επεξηγήσεις - Γη και Ήλιος,Επεξηγήσεις - Γη και Ήλιος,Γη και Ήλιος 2
Εμπλοκή μαθητών,Γη και Ήλιος,Question,Moderate,34,8,26,23.5,76.5,194.8,Επεξηγήσεις - Γη και Ήλιος,Επεξηγήσεις - Γη και Ήλιος,Γη και Ήλιος 2
Εμπλοκή μαθητών,Γη και Ήλιος,Question,Low,5,0,5,0.0,100.0,258.6,Επεξηγήσεις - Γη και Ήλιος,Επεξηγήσεις - Γη και Ήλιος,Γη και Ήλιος 2
Εμπλοκή μαθητών,Γη και Ήλιος 2,Question,High,51,44,7,86.3,13.7,69.5,Συμπληρωματική ερώτηση - Γη και Ήλιος 2,Καθοδήγηση - Γη και Ήλιος 2,Αρχικές υποθέσεις - Γεωκεντρικό μοντέλο
Εμπλοκή μαθητών,Γη και Ήλιος 2,Question,Moderate,34,12,22,35.3,64.7,46.5,Συμπληρωματική ερώτηση - Γη και Ήλιος 2,Καθοδήγηση - Γη και Ήλιος 2,Αρχικές υποθέσεις - Γεωκεντρικό μοντέλο
Εμπλοκή μαθητών,Γη και Ήλιος 2,Question,Low,4,0,4,0.0,100.0,43.8,Συμπληρωματική ερώτηση - Γη και Ήλιος 2,Καθοδήγηση - Γη και Ήλιος 2,Αρχικές υποθέσεις - Γεωκεντρικό μοντέλο
Εμπλοκή μαθητών,Επεξηγήσεις - Γη και Ήλιος,Explanation,High,25,,,0.0,0.0,265.8,Γη και Ήλιος 2,Γη και Ήλιος 2,Γη και Ήλιος 2
