id,activity__name,phase__name,proposal_type,status,created_at,reviewed_at,reviewer__username,flag_ids,categories
880,Πείραμα 2,Πείραμα,revise,new,2025-07-03 09:33:09.827520+00:00,,,"[193, 194]","Low, High"
879,Πείραμα 1,Πείραμα,revise,new,2025-07-03 09:32:53.872276+00:00,,,[192],High
878,Δραστηριότητα 6,Πείραμα,create,new,2025-07-03 09:32:30.094722+00:00,,,[186],Moderate
877,Δραστηριότητα 1 β,Εμπλοκή μαθητών,revise,new,2025-07-03 09:32:10.177094+00:00,,,"[184, 185]",Low
876,Πείραμα,Εμπλοκή μαθητών,create,new,2025-07-03 09:31:58.193018+00:00,,,[191],Moderate
875,Δραστηριότητα 3,Εμπλοκή μαθητών,create,new,2025-07-03 09:31:33.696304+00:00,,,"[181, 182]","Low, High"
874,Δραστηριότητα 1 α,Εμπλοκή μαθητών,revise,new,2025-07-03 09:31:24.056346+00:00,,,[183],Moderate
873,Δραστηριότητα 10,Αναστοχασμός,create,new,2025-07-03 09:31:05.327606+00:00,,,[188],Low
872,Δραστηριότητα 9,Αναστοχασμός,create,new,2025-07-03 09:30:47.253842+00:00,,,[195],High
871,Δραστηριότητα 8,Αναστοχασμός,create,new,2025-07-03 09:30:29.648189+00:00,,,[187],Moderate
870,Δραστηριότητα 11,Αναστοχασμός,create,new,2025-07-03 09:30:14.415164+00:00,,,[189],Low
869,Εξάρτηση περιόδου από μάζα,Αναστοχασμός,create,new,2025-07-03 09:29:54.239390+00:00,,,[190],Low
